user,timestamp,process_name,is_suspicious_process,cpu_percent,memory_mb,department
EMP-1009,2024-01-01 02:17:00,word.exe,0,66.1,3804.2,Marketing
EMP-1028,2024-01-01 18:27:00,slack.exe,0,8.5,3585.8,Research & Development
EMP-1025,2024-01-01 00:32:00,teams.exe,0,94.1,1860.4,Legal
EMP-1090,2024-01-01 12:48:00,outlook.exe,0,45.2,1871.8,Operations
EMP-1055,2024-01-01 11:11:00,word.exe,0,89.8,2821.4,Legal
EMP-1023,2024-01-01 06:50:00,word.exe,0,74.8,210.0,Human Resources
EMP-1059,2024-01-01 05:40:00,veracrypt.exe,1,18.0,392.0,Marketing
EMP-1005,2024-01-01 20:57:00,excel.exe,0,97.2,2843.6,Legal
EMP-1080,2024-01-01 06:20:00,notepad.exe,0,9.6,3522.9,Operations
EMP-1042,2024-01-01 12:37:00,chrome.exe,0,81.0,116.1,Finance
EMP-1057,2024-01-01 22:50:00,notepad.exe,0,82.7,2468.9,Executive
EMP-1032,2024-01-01 14:29:00,word.exe,0,97.4,3439.1,Finance
EMP-1076,2024-01-01 01:28:00,word.exe,0,60.2,877.5,IT Security
EMP-1069,2024-01-01 04:16:00,chrome.exe,0,56.9,1590.1,Marketing
EMP-1018,2024-01-01 12:14:00,chrome.exe,0,36.2,2668.3,Research & Development
EMP-1034,2024-01-01 21:59:00,notepad.exe,0,48.7,1196.4,Sales
EMP-1030,2024-01-01 15:55:00,zoom.exe,0,78.4,1666.9,Operations
EMP-1074,2024-01-01 01:13:00,notepad.exe,0,37.1,1658.0,Sales
EMP-1091,2024-01-01 13:15:00,excel.exe,0,11.4,1192.6,Engineering
EMP-1078,2024-01-01 15:15:00,word.exe,0,14.8,1414.1,Research & Development
EMP-1022,2024-01-01 12:03:00,excel.exe,0,40.0,2994.6,Finance
EMP-1091,2024-01-01 22:17:00,teams.exe,0,7.7,4035.2,Engineering
EMP-1005,2024-01-01 21:23:00,notepad.exe,0,57.3,1719.3,Legal
EMP-1100,2024-01-01 19:38:00,slack.exe,0,34.7,2549.1,Operations
EMP-1082,2024-01-01 03:52:00,zoom.exe,0,64.2,1278.9,Finance
EMP-1086,2024-01-01 23:27:00,teams.exe,0,44.7,1300.9,IT Security
EMP-1046,2024-01-01 19:54:00,teams.exe,0,94.3,3642.5,IT Security
EMP-1097,2024-01-01 18:38:00,notepad.exe,0,96.1,2956.6,Executive
EMP-1009,2024-01-01 00:13:00,slack.exe,0,88.1,216.8,Marketing
EMP-1027,2024-01-01 11:39:00,notepad.exe,0,86.4,220.3,Executive
EMP-1067,2024-01-01 17:23:00,outlook.exe,0,43.6,686.8,Executive
EMP-1046,2024-01-01 16:06:00,outlook.exe,0,6.8,1325.7,IT Security
EMP-1006,2024-01-01 12:06:00,teams.exe,0,55.9,1699.0,IT Security
EMP-1073,2024-01-01 20:53:00,excel.exe,0,64.2,1801.8,Human Resources
EMP-1039,2024-01-01 08:37:00,python.exe,0,49.7,2857.6,Marketing
EMP-1023,2024-01-01 10:38:00,word.exe,0,40.8,3750.7,Human Resources
EMP-1048,2024-01-01 06:27:00,teams.exe,0,34.1,970.9,Research & Development
EMP-1010,2024-01-01 06:34:00,python.exe,0,4.3,3503.7,Operations
EMP-1048,2024-01-01 17:11:00,excel.exe,0,29.5,1753.5,Research & Development
EMP-1027,2024-01-01 16:45:00,code.exe,0,78.8,2856.7,Executive
EMP-1028,2024-01-01 05:39:00,teams.exe,0,86.2,1528.6,Research & Development
EMP-1009,2024-01-01 10:14:00,python.exe,0,44.5,3720.8,Marketing
EMP-1024,2024-01-01 15:47:00,filezilla.exe,1,65.1,922.0,Sales
EMP-1070,2024-01-01 19:49:00,teams.exe,0,98.7,1531.9,Operations
EMP-1078,2024-01-01 00:30:00,slack.exe,0,7.7,63.6,Research & Development
EMP-1067,2024-01-01 17:40:00,excel.exe,0,14.7,1183.2,Executive
EMP-1083,2024-01-01 09:36:00,notepad.exe,0,10.0,2026.1,Human Resources
EMP-1030,2024-01-01 23:19:00,slack.exe,0,84.7,3099.6,Operations
EMP-1071,2024-01-01 10:39:00,slack.exe,0,96.7,384.8,Engineering
EMP-1016,2024-01-01 03:28:00,teams.exe,0,54.7,1251.1,IT Security
EMP-1028,2024-01-01 21:41:00,chrome.exe,0,47.7,2923.0,Research & Development
EMP-1019,2024-01-01 13:09:00,chrome.exe,0,39.6,1181.0,Marketing
EMP-1054,2024-01-01 06:06:00,notepad.exe,0,77.7,2889.0,Sales
EMP-1002,2024-01-01 10:13:00,slack.exe,0,38.0,2880.0,Finance
EMP-1091,2024-01-01 06:58:00,teams.exe,0,2.4,2651.0,Engineering
EMP-1024,2024-01-01 08:54:00,chrome.exe,0,47.3,410.2,Sales
EMP-1095,2024-01-01 08:15:00,word.exe,0,47.7,2488.8,Legal
EMP-1072,2024-01-01 01:09:00,outlook.exe,0,44.8,2076.5,Finance
EMP-1066,2024-01-01 00:54:00,zoom.exe,0,12.7,1230.1,IT Security
EMP-1044,2024-01-01 13:40:00,tor.exe,1,89.0,337.2,Sales
EMP-1076,2024-01-01 18:15:00,tor.exe,1,33.7,1904.5,IT Security
EMP-1046,2024-01-01 06:29:00,code.exe,0,54.3,2934.5,IT Security
EMP-1027,2024-01-01 08:32:00,python.exe,0,98.8,2718.6,Executive
EMP-1019,2024-01-01 15:40:00,notepad.exe,0,60.6,2575.4,Marketing
EMP-1055,2024-01-01 15:38:00,notepad.exe,0,22.9,3774.6,Legal
EMP-1077,2024-01-01 14:44:00,code.exe,0,50.0,2974.9,Executive
EMP-1084,2024-01-01 13:21:00,excel.exe,0,24.0,3131.3,Sales
EMP-1099,2024-01-01 20:04:00,slack.exe,0,59.2,2301.2,Marketing
EMP-1060,2024-01-01 13:40:00,python.exe,0,29.9,3651.3,Operations
EMP-1055,2024-01-01 10:48:00,excel.exe,0,11.9,3845.9,Legal
EMP-1049,2024-01-01 14:16:00,excel.exe,0,50.8,3152.4,Marketing
EMP-1077,2024-01-01 11:09:00,excel.exe,0,13.4,2917.9,Executive
EMP-1029,2024-01-01 18:44:00,chrome.exe,0,15.9,3145.2,Marketing
EMP-1019,2024-01-01 14:26:00,teams.exe,0,56.8,152.8,Marketing
EMP-1031,2024-01-01 01:22:00,excel.exe,0,56.3,3183.1,Engineering
EMP-1066,2024-01-01 21:57:00,putty.exe,1,16.8,1070.4,IT Security
EMP-1036,2024-01-01 10:31:00,zoom.exe,0,25.1,827.7,IT Security
EMP-1034,2024-01-01 23:12:00,code.exe,0,62.6,106.6,Sales
EMP-1081,2024-01-01 03:52:00,notepad.exe,0,15.8,2520.6,Engineering
EMP-1067,2024-01-01 21:18:00,slack.exe,0,20.7,3667.8,Executive
EMP-1077,2024-01-01 17:38:00,teams.exe,0,25.0,4093.2,Executive
EMP-1039,2024-01-01 14:34:00,word.exe,0,69.0,1531.9,Marketing
EMP-1052,2024-01-01 17:22:00,teams.exe,0,19.8,807.7,Finance
EMP-1068,2024-01-01 09:16:00,notepad.exe,0,5.6,3557.8,Research & Development
EMP-1037,2024-01-01 02:59:00,outlook.exe,0,55.5,1131.3,Executive
EMP-1047,2024-01-01 08:20:00,word.exe,0,91.6,1505.8,Executive
EMP-1099,2024-01-01 12:58:00,code.exe,0,23.8,1859.4,Marketing
EMP-1019,2024-01-01 22:33:00,outlook.exe,0,21.7,1866.3,Marketing
EMP-1057,2024-01-01 10:29:00,outlook.exe,0,35.7,3695.4,Executive
EMP-1037,2024-01-01 10:44:00,python.exe,0,7.9,1876.2,Executive
EMP-1053,2024-01-01 18:29:00,excel.exe,0,8.3,586.7,Human Resources
EMP-1027,2024-01-01 09:22:00,chrome.exe,0,15.0,565.1,Executive
EMP-1002,2024-01-01 15:27:00,excel.exe,0,65.3,3061.4,Finance
EMP-1010,2024-01-01 16:39:00,putty.exe,1,42.6,2919.2,Operations
EMP-1014,2024-01-01 02:32:00,excel.exe,0,22.2,358.4,Sales
EMP-1020,2024-01-01 09:08:00,teams.exe,0,39.5,3786.7,Operations
EMP-1085,2024-01-01 00:35:00,word.exe,0,72.7,666.3,Legal
EMP-1022,2024-01-01 20:06:00,outlook.exe,0,77.8,179.2,Finance
EMP-1043,2024-01-01 06:54:00,putty.exe,1,41.5,3068.4,Human Resources
EMP-1037,2024-01-01 09:40:00,notepad.exe,0,79.7,2257.0,Executive
EMP-1084,2024-01-01 11:12:00,word.exe,0,2.0,322.4,Sales
EMP-1072,2024-01-01 12:08:00,zoom.exe,0,47.0,1609.1,Finance
EMP-1008,2024-01-01 10:46:00,code.exe,0,49.9,1559.9,Research & Development
EMP-1096,2024-01-01 00:44:00,word.exe,0,23.3,983.4,IT Security
EMP-1089,2024-01-01 16:42:00,word.exe,0,91.7,2469.6,Marketing
EMP-1064,2024-01-01 18:58:00,excel.exe,0,31.8,3737.0,Sales
EMP-1089,2024-01-01 20:33:00,word.exe,0,90.6,2162.4,Marketing
EMP-1041,2024-01-01 16:14:00,word.exe,0,42.4,3881.0,Engineering
EMP-1053,2024-01-01 00:06:00,zoom.exe,0,99.8,927.2,Human Resources
EMP-1017,2024-01-01 13:51:00,python.exe,0,67.3,3540.7,Executive
EMP-1060,2024-01-01 11:04:00,teamviewer.exe,1,86.3,1174.5,Operations
EMP-1071,2024-01-01 08:48:00,word.exe,0,25.5,3703.7,Engineering
EMP-1060,2024-01-01 20:05:00,code.exe,0,71.0,417.4,Operations
EMP-1031,2024-01-01 22:25:00,excel.exe,0,82.8,3290.1,Engineering
EMP-1040,2024-01-01 14:50:00,python.exe,0,90.8,65.4,Operations
EMP-1082,2024-01-01 08:53:00,outlook.exe,0,20.6,455.2,Finance
EMP-1069,2024-01-01 17:05:00,chrome.exe,0,23.6,3777.8,Marketing
EMP-1081,2024-01-01 00:55:00,zoom.exe,0,58.8,2961.1,Engineering
EMP-1028,2024-01-01 14:00:00,teams.exe,0,44.5,2604.2,Research & Development
EMP-1043,2024-01-01 21:24:00,teams.exe,0,31.3,696.7,Human Resources
EMP-1041,2024-01-01 07:12:00,excel.exe,0,27.6,2242.8,Engineering
EMP-1064,2024-01-01 10:11:00,code.exe,0,23.3,3302.8,Sales
EMP-1014,2024-01-01 10:58:00,outlook.exe,0,38.9,471.8,Sales
EMP-1075,2024-01-01 22:51:00,outlook.exe,0,11.6,2717.9,Legal
EMP-1069,2024-01-01 00:45:00,chrome.exe,0,0.4,2663.2,Marketing
EMP-1001,2024-01-01 07:40:00,outlook.exe,0,22.4,1605.8,Engineering
EMP-1096,2024-01-01 10:20:00,outlook.exe,0,41.4,1863.8,IT Security
EMP-1028,2024-01-01 18:40:00,python.exe,0,31.9,3843.9,Research & Development
EMP-1084,2024-01-01 17:14:00,outlook.exe,0,90.1,3535.8,Sales
EMP-1027,2024-01-01 21:50:00,notepad.exe,0,96.9,2405.5,Executive
EMP-1037,2024-01-01 12:58:00,chrome.exe,0,99.7,3667.7,Executive
EMP-1054,2024-01-01 06:11:00,python.exe,0,45.5,3326.2,Sales
EMP-1074,2024-01-01 10:01:00,code.exe,0,80.8,324.9,Sales
EMP-1065,2024-01-01 16:44:00,chrome.exe,0,50.0,3329.2,Legal
EMP-1032,2024-01-01 11:21:00,word.exe,0,52.4,2368.9,Finance
EMP-1004,2024-01-01 13:55:00,excel.exe,0,96.4,3558.5,Sales
EMP-1021,2024-01-01 05:38:00,python.exe,0,61.0,3032.7,Engineering
EMP-1051,2024-01-01 19:53:00,chrome.exe,0,63.3,2809.3,Engineering
EMP-1042,2024-01-01 11:22:00,excel.exe,0,42.5,2087.3,Finance
EMP-1097,2024-01-01 12:49:00,outlook.exe,0,1.0,779.7,Executive
EMP-1086,2024-01-01 10:02:00,python.exe,0,8.7,2911.1,IT Security
EMP-1047,2024-01-01 21:06:00,teams.exe,0,83.4,2418.9,Executive
EMP-1046,2024-01-01 12:19:00,word.exe,0,3.2,3904.4,IT Security
EMP-1054,2024-01-01 20:17:00,word.exe,0,63.7,3956.3,Sales
EMP-1082,2024-01-01 00:56:00,chrome.exe,0,0.3,460.0,Finance
EMP-1092,2024-01-01 13:47:00,outlook.exe,0,5.1,2593.4,Finance
EMP-1035,2024-01-01 14:03:00,outlook.exe,0,94.8,78.4,Legal
EMP-1040,2024-01-01 10:39:00,zoom.exe,0,98.7,2347.8,Operations
EMP-1017,2024-01-01 19:17:00,code.exe,0,35.9,3844.4,Executive
EMP-1047,2024-01-01 04:13:00,chrome.exe,0,39.7,685.1,Executive
EMP-1096,2024-01-01 21:48:00,outlook.exe,0,60.7,1282.9,IT Security
EMP-1068,2024-01-01 05:07:00,python.exe,0,20.5,2677.7,Research & Development
EMP-1032,2024-01-01 11:52:00,zoom.exe,0,86.5,692.2,Finance
EMP-1038,2024-01-01 11:42:00,outlook.exe,0,81.8,1329.8,Research & Development
EMP-1092,2024-01-01 00:14:00,outlook.exe,0,85.8,342.8,Finance
EMP-1071,2024-01-01 11:00:00,teams.exe,0,32.3,3539.1,Engineering
EMP-1062,2024-01-01 23:08:00,notepad.exe,0,36.9,1294.9,Finance
EMP-1013,2024-01-01 20:56:00,chrome.exe,0,92.6,999.1,Human Resources
EMP-1030,2024-01-01 21:40:00,outlook.exe,0,10.9,417.9,Operations
EMP-1075,2024-01-01 16:08:00,chrome.exe,0,25.0,2593.3,Legal
EMP-1063,2024-01-01 19:21:00,code.exe,0,27.6,1884.4,Human Resources
EMP-1023,2024-01-01 21:17:00,teams.exe,0,23.3,399.5,Human Resources
EMP-1030,2024-01-01 13:58:00,excel.exe,0,94.8,284.9,Operations
EMP-1041,2024-01-01 12:15:00,teams.exe,0,1.6,1214.3,Engineering
EMP-1035,2024-01-01 22:40:00,code.exe,0,70.0,2109.3,Legal
EMP-1053,2024-01-01 19:37:00,excel.exe,0,0.6,1277.3,Human Resources
EMP-1088,2024-01-01 04:53:00,python.exe,0,53.4,2003.0,Research & Development
EMP-1058,2024-01-01 22:27:00,code.exe,0,88.8,443.1,Research & Development
EMP-1064,2024-01-01 07:56:00,teams.exe,0,15.2,3207.4,Sales
EMP-1042,2024-01-01 21:37:00,chrome.exe,0,71.4,2742.8,Finance
EMP-1060,2024-01-01 03:21:00,notepad.exe,0,19.7,2355.9,Operations
EMP-1045,2024-01-01 16:45:00,zoom.exe,0,45.3,2803.0,Legal
EMP-1074,2024-01-01 22:04:00,outlook.exe,0,41.9,703.1,Sales
EMP-1099,2024-01-01 20:46:00,outlook.exe,0,13.2,2662.7,Marketing
EMP-1026,2024-01-01 03:45:00,outlook.exe,0,93.8,2608.9,IT Security
EMP-1052,2024-01-01 18:34:00,excel.exe,0,19.4,1252.3,Finance
EMP-1012,2024-01-01 08:51:00,excel.exe,0,36.8,2464.9,Finance
EMP-1077,2024-01-01 09:40:00,outlook.exe,0,92.9,2376.8,Executive
EMP-1075,2024-01-01 08:48:00,word.exe,0,64.6,3351.8,Legal
EMP-1037,2024-01-01 16:09:00,notepad.exe,0,57.8,938.9,Executive
EMP-1052,2024-01-01 05:23:00,notepad.exe,0,31.0,3895.5,Finance
EMP-1061,2024-01-01 20:22:00,word.exe,0,58.6,3484.7,Engineering
EMP-1069,2024-01-01 08:02:00,outlook.exe,0,95.8,3927.7,Marketing
EMP-1013,2024-01-01 13:50:00,chrome.exe,0,48.6,554.6,Human Resources
EMP-1005,2024-01-01 20:18:00,word.exe,0,21.8,3167.4,Legal
EMP-1020,2024-01-01 01:02:00,excel.exe,0,25.9,3060.8,Operations
EMP-1074,2024-01-01 19:38:00,zoom.exe,0,25.5,4005.6,Sales
EMP-1069,2024-01-01 22:08:00,outlook.exe,0,34.7,2667.1,Marketing
EMP-1009,2024-01-01 19:20:00,outlook.exe,0,56.0,1203.2,Marketing
EMP-1019,2024-01-01 16:45:00,code.exe,0,50.5,3132.0,Marketing
EMP-1056,2024-01-01 16:09:00,teams.exe,0,53.8,3828.7,IT Security
EMP-1041,2024-01-01 04:51:00,slack.exe,0,57.3,2763.4,Engineering
EMP-1074,2024-01-01 00:00:00,python.exe,0,1.1,503.2,Sales
EMP-1068,2024-01-01 15:00:00,teams.exe,0,96.8,468.8,Research & Development
EMP-1014,2024-01-01 02:00:00,outlook.exe,0,11.3,1670.2,Sales
EMP-1026,2024-01-01 09:06:00,slack.exe,0,34.9,3466.7,IT Security
EMP-1005,2024-01-01 18:26:00,excel.exe,0,97.5,2379.0,Legal
EMP-1060,2024-01-01 03:37:00,chrome.exe,0,74.1,1517.8,Operations
EMP-1057,2024-01-01 01:20:00,code.exe,0,11.3,1434.1,Executive
EMP-1030,2024-01-01 21:22:00,code.exe,0,37.0,1165.4,Operations
EMP-1039,2024-01-01 16:19:00,filezilla.exe,1,72.8,2679.9,Marketing
EMP-1084,2024-01-01 06:21:00,excel.exe,0,2.3,3436.7,Sales
EMP-1033,2024-01-01 10:09:00,notepad.exe,0,59.4,1646.5,Human Resources
EMP-1090,2024-01-01 10:32:00,code.exe,0,27.7,3420.2,Operations
EMP-1041,2024-01-01 12:27:00,code.exe,0,17.5,1960.5,Engineering
EMP-1040,2024-01-01 07:59:00,notepad.exe,0,56.0,2432.9,Operations
EMP-1087,2024-01-01 19:55:00,filezilla.exe,1,20.5,1363.4,Executive
EMP-1002,2024-01-01 14:28:00,notepad.exe,0,31.5,3882.3,Finance
EMP-1078,2024-01-01 08:10:00,chrome.exe,0,44.6,902.6,Research & Development
EMP-1079,2024-01-01 16:51:00,notepad.exe,0,34.0,3719.4,Marketing
EMP-1042,2024-01-01 06:26:00,nmap.exe,1,26.1,2901.6,Finance
EMP-1007,2024-01-01 21:53:00,zoom.exe,0,74.6,1163.3,Executive
