user,connect_time,disconnect_time,duration_hrs,vpn_ip,geo_location,bytes_uploaded,bytes_downloaded,department
EMP-1029,2024-01-03 11:02:00,2024-01-03 12:02:46.216803,1.01,172.16.223.89,Berlin,4874640,26350588,Marketing
EMP-1085,2024-01-03 00:45:00,2024-01-03 05:22:13.084130,4.62,172.16.29.179,Bangalore,20319511,1717733233,Legal
EMP-1002,2024-01-03 20:11:00,2024-01-04 00:53:41.121224,4.71,172.16.231.135,NewYork,87421803,1428313397,Finance
EMP-1060,2024-01-03 22:12:00,2024-01-04 09:06:23.895630,10.91,172.16.147.229,Berlin,21774888,1014127817,Operations
EMP-1014,2024-01-03 19:39:00,2024-01-03 20:39:54.548527,1.02,172.16.125.154,London,356272736,469832920,Sales
EMP-1066,2024-01-03 16:45:00,2024-01-04 01:06:10.892186,8.35,172.16.97.4,Bangalore,286832763,1172059660,IT Security
EMP-1048,2024-01-03 06:35:00,2024-01-03 14:32:32.374688,7.96,172.16.250.40,Remote,2826629,1257037165,Research & Development
EMP-1062,2024-01-03 00:03:00,2024-01-03 05:55:22.810809,5.87,172.16.115.97,London,14133533,157814097,Finance
EMP-1084,2024-01-03 21:12:00,2024-01-04 07:59:57.062958,10.8,172.16.196.147,SanFrancisco,381683019,703951326,Sales
EMP-1068,2024-01-03 19:28:00,2024-01-04 07:00:29.394866,11.54,172.16.92.215,NewYork,133169892,39846086,Research & Development
EMP-1045,2024-01-03 09:11:00,2024-01-03 15:51:32.893377,6.68,172.16.193.42,Berlin,340625589,1348594511,Legal
EMP-1026,2024-01-03 22:45:00,2024-01-04 06:56:17.268980,8.19,172.16.85.181,Remote,428351145,1049719018,IT Security
EMP-1001,2024-01-03 19:59:00,2024-01-04 06:47:10.386326,10.8,172.16.216.176,London,204699615,82959283,Engineering
EMP-1008,2024-01-03 17:19:00,2024-01-04 04:44:45.905564,11.43,172.16.102.71,Bangalore,494512022,802025375,Research & Development
EMP-1029,2024-01-03 21:41:00,2024-01-04 02:47:39.471659,5.11,172.16.126.180,Berlin,460598129,7812845,Marketing
EMP-1067,2024-01-03 01:10:00,2024-01-03 03:34:25.162647,2.41,172.16.39.125,Remote,6419009,915033187,Executive
EMP-1057,2024-01-03 10:50:00,2024-01-03 18:29:56.570866,7.67,172.16.135.20,NewYork,121991867,647223450,Executive
EMP-1068,2024-01-03 07:44:00,2024-01-03 17:38:04.144670,9.9,172.16.86.173,NewYork,441345165,166517019,Research & Development
EMP-1099,2024-01-03 03:23:00,2024-01-03 10:41:24.421863,7.31,172.16.165.231,London,426273570,1975001864,Marketing
EMP-1017,2024-01-03 07:35:00,2024-01-03 14:44:15.514672,7.15,172.16.37.199,Moscow,403405652,1908537274,Executive
EMP-1086,2024-01-03 23:19:00,2024-01-04 06:17:02.398062,6.97,172.16.146.159,London,415786664,1438082479,IT Security
EMP-1059,2024-01-03 15:11:00,2024-01-04 01:29:06.678062,10.3,172.16.81.73,Bangalore,164108554,1946870245,Marketing
EMP-1051,2024-01-03 18:14:00,2024-01-03 18:58:30.784546,0.74,172.16.18.24,SanFrancisco,223822841,192383284,Engineering
EMP-1077,2024-01-03 12:25:00,2024-01-03 14:41:19.274044,2.27,172.16.143.107,London,204518822,1953852610,Executive
EMP-1071,2024-01-04 17:40:00,2024-01-05 04:19:56.648603,10.67,172.16.160.46,Berlin,409099180,501731359,Engineering
EMP-1090,2024-01-04 14:13:00,2024-01-04 16:28:10.271936,2.25,172.16.187.143,Berlin,98156360,35711216,Operations
EMP-1023,2024-01-04 20:08:00,2024-01-05 06:57:16.311723,10.82,172.16.183.127,SanFrancisco,382144053,163244535,Human Resources
EMP-1037,2024-01-04 05:30:00,2024-01-04 13:35:46.020369,8.1,172.16.1.173,SanFrancisco,433953753,1240007903,Executive
EMP-1079,2024-01-04 05:24:00,2024-01-04 10:30:30.841599,5.11,172.16.195.182,Remote,490983855,1126118615,Marketing
EMP-1074,2024-01-04 08:47:00,2024-01-04 12:32:23.906874,3.76,172.16.78.9,London,338869046,314888357,Sales
EMP-1049,2024-01-04 04:36:00,2024-01-04 08:01:53.107637,3.43,172.16.125.116,Shanghai,443702850,1323356308,Marketing
EMP-1005,2024-01-04 03:39:00,2024-01-04 11:36:53.282683,7.96,172.16.209.126,Remote,353587398,1810586097,Legal
EMP-1099,2024-01-04 17:18:00,2024-01-04 18:34:08.865052,1.27,172.16.186.6,London,303166674,151712578,Marketing
EMP-1035,2024-01-04 15:28:00,2024-01-04 20:40:17.274133,5.2,172.16.140.68,Remote,288130303,716040932,Legal
EMP-1093,2024-01-04 05:00:00,2024-01-04 16:37:06.043733,11.62,172.16.145.1,London,128529050,796055865,Human Resources
EMP-1012,2024-01-04 10:45:00,2024-01-04 14:41:16.540228,3.94,172.16.84.230,NewYork,391830491,1393992913,Finance
EMP-1093,2024-01-04 12:36:00,2024-01-04 16:37:53.906517,4.03,172.16.185.213,London,189891359,225789855,Human Resources
EMP-1020,2024-01-04 02:25:00,2024-01-04 06:43:43.184150,4.31,172.16.143.136,Bangalore,373013802,478637902,Operations
EMP-1088,2024-01-04 22:53:00,2024-01-05 02:41:57.321259,3.82,172.16.54.195,Remote,425444154,1664717581,Research & Development
EMP-1095,2024-01-04 18:31:00,2024-01-05 06:20:10.298911,11.82,172.16.153.35,SanFrancisco,122899089,1556561703,Legal
EMP-1079,2024-01-04 03:06:00,2024-01-04 12:43:37.837316,9.63,172.16.20.110,Moscow,374155676,1005751289,Marketing
EMP-1059,2024-01-04 04:11:00,2024-01-04 12:06:22.608676,7.92,172.16.220.102,Bangalore,229725110,1565816340,Marketing
EMP-1074,2024-01-04 10:30:00,2024-01-04 21:03:58.886108,10.57,172.16.129.91,London,227661201,423904698,Sales
EMP-1023,2024-01-04 09:23:00,2024-01-04 12:39:44.144911,3.28,172.16.81.69,SanFrancisco,256845580,808411640,Human Resources
EMP-1051,2024-01-04 01:45:00,2024-01-04 12:52:38.328721,11.13,172.16.82.6,SanFrancisco,161345824,1968466831,Engineering
EMP-1069,2024-01-04 06:14:00,2024-01-04 11:33:18.171931,5.32,172.16.156.152,SanFrancisco,226318941,1477542446,Marketing
EMP-1071,2024-01-04 21:26:00,2024-01-05 08:02:51.412528,10.61,172.16.7.81,Berlin,281482495,1235843135,Engineering
EMP-1083,2024-01-04 06:07:00,2024-01-04 15:11:02.892062,9.07,172.16.180.78,Berlin,202922875,834720664,Human Resources
EMP-1080,2024-01-04 09:38:00,2024-01-04 20:12:27.296718,10.57,172.16.33.33,SanFrancisco,499823709,127187090,Operations
EMP-1087,2024-01-04 10:01:00,2024-01-04 12:21:42.586722,2.35,172.16.79.109,SanFrancisco,72661846,1643426561,Executive
EMP-1017,2024-01-04 11:19:00,2024-01-04 14:50:41.386251,3.53,172.16.153.170,Bangalore,371442017,1535970372,Executive
EMP-1030,2024-01-04 13:06:00,2024-01-04 19:20:16.677414,6.24,172.16.146.152,Shanghai,307259783,1964022321,Operations
EMP-1020,2024-01-04 14:34:00,2024-01-04 19:48:53.471680,5.25,172.16.67.219,Bangalore,480967673,1985156145,Operations
EMP-1077,2024-01-04 07:49:00,2024-01-04 17:00:50.987144,9.2,172.16.71.31,London,434046346,1639720740,Executive
EMP-1048,2024-01-04 20:09:00,2024-01-05 03:46:42.237224,7.63,172.16.62.142,Remote,269504240,1209678820,Research & Development
EMP-1058,2024-01-04 16:47:00,2024-01-04 17:23:22.403743,0.61,172.16.39.194,London,286211305,1004119761,Research & Development
EMP-1031,2024-01-04 01:36:00,2024-01-04 08:04:37.648771,6.48,172.16.160.86,NewYork,278719872,540236862,Engineering
EMP-1047,2024-01-04 06:36:00,2024-01-04 15:56:13.531318,9.34,172.16.175.5,Bangalore,237526971,928985841,Executive
EMP-1043,2024-01-04 07:16:00,2024-01-04 12:49:25.578644,5.56,172.16.7.201,NewYork,110989889,298175188,Human Resources
EMP-1039,2024-01-04 01:36:00,2024-01-04 06:32:26.148709,4.94,172.16.41.89,Bangalore,320567022,544319392,Marketing
EMP-1090,2024-01-05 15:34:00,2024-01-05 23:11:13.751359,7.62,172.16.61.27,Shanghai,203717355,1609908494,Operations
EMP-1021,2024-01-05 12:54:00,2024-01-05 13:41:12.736611,0.79,172.16.97.67,Bangalore,224890095,1803902432,Engineering
EMP-1015,2024-01-05 15:38:00,2024-01-05 17:15:03.728029,1.62,172.16.68.252,Berlin,413555769,632446570,Legal
EMP-1093,2024-01-05 07:36:00,2024-01-05 09:37:01.554566,2.02,172.16.227.99,London,116797,1510713177,Human Resources
EMP-1032,2024-01-05 20:57:00,2024-01-06 08:20:35.189596,11.39,172.16.135.112,SanFrancisco,299359612,1201480264,Finance
EMP-1089,2024-01-05 08:28:00,2024-01-05 18:43:12.969044,10.25,172.16.17.92,Remote,37560102,1472095839,Marketing
EMP-1067,2024-01-05 05:29:00,2024-01-05 11:57:03.379986,6.47,172.16.245.157,Remote,416321785,1523863157,Executive
EMP-1084,2024-01-05 11:21:00,2024-01-05 22:21:44.561878,11.01,172.16.136.126,SanFrancisco,363959601,1666619493,Sales
EMP-1068,2024-01-05 04:09:00,2024-01-05 06:09:53.238792,2.01,172.16.180.152,NewYork,488892301,58095471,Research & Development
EMP-1100,2024-01-05 23:10:00,2024-01-06 09:03:34.892121,9.89,172.16.228.104,Bangalore,127827241,491716828,Operations
EMP-1038,2024-01-05 21:15:00,2024-01-05 23:05:54.741738,1.85,172.16.104.246,Remote,319414923,271300487,Research & Development
EMP-1040,2024-01-05 18:29:00,2024-01-06 06:15:23.445459,11.77,172.16.230.96,Bangalore,237726429,1400151590,Operations
EMP-1049,2024-01-05 16:38:00,2024-01-06 03:58:38.541310,11.34,172.16.7.34,London,67043646,1655620159,Marketing
EMP-1087,2024-01-05 14:18:00,2024-01-05 19:21:34.186923,5.06,172.16.81.231,SanFrancisco,33967420,1889485360,Executive
EMP-1100,2024-01-05 02:20:00,2024-01-05 09:31:57.816401,7.2,172.16.184.143,Bangalore,192538991,87137150,Operations
EMP-1032,2024-01-05 19:32:00,2024-01-06 01:26:53.171586,5.91,172.16.218.179,SanFrancisco,114704092,661828766,Finance
EMP-1072,2024-01-05 01:34:00,2024-01-05 09:46:25.611461,8.21,172.16.180.202,London,367540386,642657425,Finance
EMP-1038,2024-01-05 23:32:00,2024-01-06 08:01:12.231053,8.49,172.16.219.212,Remote,141286040,1755160944,Research & Development
EMP-1060,2024-01-05 03:57:00,2024-01-05 09:27:26.684353,5.51,172.16.101.158,Berlin,51280245,1616978798,Operations
EMP-1003,2024-01-05 19:29:00,2024-01-06 03:27:20.121140,7.97,172.16.105.238,Berlin,66113474,757477446,Human Resources
EMP-1045,2024-01-05 04:04:00,2024-01-05 13:54:27.296232,9.84,172.16.236.198,Berlin,132006308,831878146,Legal
EMP-1032,2024-01-05 16:14:00,2024-01-06 03:04:31.023341,10.84,172.16.13.121,SanFrancisco,350110005,1516645799,Finance
EMP-1038,2024-01-05 14:58:00,2024-01-05 18:57:48.043640,4.0,172.16.17.163,Remote,484840469,1218590726,Research & Development
EMP-1046,2024-01-05 19:47:00,2024-01-06 00:16:47.929547,4.5,172.16.199.197,Bangalore,332887014,1506789312,IT Security
EMP-1058,2024-01-05 20:57:00,2024-01-05 21:34:38.945463,0.63,172.16.1.217,London,132027942,1736713614,Research & Development
EMP-1061,2024-01-05 16:15:00,2024-01-05 20:26:15.953005,4.19,172.16.192.120,Bangalore,419692241,701528555,Engineering
EMP-1083,2024-01-05 03:30:00,2024-01-05 15:12:19.495144,11.71,172.16.243.166,Berlin,43926530,1677224497,Human Resources
EMP-1014,2024-01-05 20:18:00,2024-01-06 04:05:29.151345,7.79,172.16.183.118,London,183926831,1537398381,Sales
EMP-1067,2024-01-05 06:03:00,2024-01-05 17:52:12.625563,11.82,172.16.46.156,Remote,22955681,1059038380,Executive
EMP-1067,2024-01-05 11:29:00,2024-01-05 14:19:56.689309,2.85,172.16.133.74,Remote,263132221,343302558,Executive
EMP-1090,2024-01-05 15:59:00,2024-01-05 21:30:11.605590,5.52,172.16.59.1,Berlin,109560065,1750185454,Operations
EMP-1042,2024-01-05 23:33:00,2024-01-06 04:32:35.535901,4.99,172.16.179.155,Moscow,96151204,1449925899,Finance
EMP-1047,2024-01-05 18:53:00,2024-01-06 02:27:38.855834,7.58,172.16.97.233,Bangalore,460241277,276366198,Executive
EMP-1097,2024-01-05 04:46:00,2024-01-05 15:30:17.243609,10.74,172.16.131.62,NewYork,216665473,1730973800,Executive
EMP-1022,2024-01-05 18:34:00,2024-01-06 05:15:18.556515,10.69,172.16.104.118,NewYork,475088447,778090098,Finance
EMP-1010,2024-01-05 14:13:00,2024-01-06 00:34:45.960820,10.36,172.16.13.112,Remote,423812513,1871020817,Operations
EMP-1051,2024-01-05 10:43:00,2024-01-05 12:45:13.585467,2.04,172.16.98.150,SanFrancisco,455037746,1264139812,Engineering
EMP-1089,2024-01-05 16:40:00,2024-01-05 20:10:38.204471,3.51,172.16.231.204,Remote,201161601,1266926481,Marketing
EMP-1001,2024-01-05 02:43:00,2024-01-05 06:43:00.400029,4.0,172.16.70.163,London,330788867,1224455858,Engineering
EMP-1047,2024-01-05 16:40:00,2024-01-06 03:49:32.084946,11.16,172.16.76.190,Bangalore,202137476,589113514,Executive
EMP-1086,2024-01-05 18:47:00,2024-01-05 20:36:37.049206,1.83,172.16.215.198,London,300993231,652678789,IT Security
EMP-1059,2024-01-05 00:08:00,2024-01-05 08:15:00.928988,8.12,172.16.120.42,Bangalore,397065148,1906631672,Marketing
EMP-1074,2024-01-05 22:48:00,2024-01-06 00:48:51.702206,2.01,172.16.195.127,London,220320155,1947102791,Sales
EMP-1005,2024-01-05 18:53:00,2024-01-05 21:25:52.171361,2.55,172.16.34.211,Remote,127931230,2367398,Legal
EMP-1058,2024-01-05 11:29:00,2024-01-05 18:43:09.411599,7.24,172.16.29.180,London,58444066,680927123,Research & Development
EMP-1089,2024-01-05 19:26:00,2024-01-06 05:24:41.479025,9.98,172.16.160.133,Remote,288948289,1741489552,Marketing
EMP-1094,2024-01-05 12:09:00,2024-01-05 15:31:14.958185,3.37,172.16.37.21,Berlin,400762103,938302905,Sales
EMP-1095,2024-01-05 12:57:00,2024-01-05 23:59:51.308238,11.05,172.16.29.203,SanFrancisco,399458854,1995519836,Legal
EMP-1093,2024-01-05 17:00:00,2024-01-06 03:29:30.667421,10.49,172.16.157.53,London,100893038,752430411,Human Resources
EMP-1039,2024-01-05 16:50:00,2024-01-06 02:05:58.556268,9.27,172.16.173.31,Bangalore,112773143,1608701359,Marketing
EMP-1066,2024-01-05 23:34:00,2024-01-06 07:03:39.612321,7.49,172.16.188.86,Bangalore,274967269,1533792522,IT Security
EMP-1093,2024-01-05 07:25:00,2024-01-05 19:09:43.321327,11.75,172.16.118.69,London,289324175,1204568463,Human Resources
EMP-1042,2024-01-05 08:09:00,2024-01-05 17:48:12.529343,9.65,172.16.177.174,Bangalore,412841108,1362213971,Finance
EMP-1096,2024-01-05 23:29:00,2024-01-06 08:51:18.353826,9.37,172.16.60.141,Remote,486246621,752136180,IT Security
EMP-1050,2024-01-05 06:27:00,2024-01-05 15:38:27.462726,9.19,172.16.218.23,Bangalore,24532270,1199020637,Operations
EMP-1011,2024-01-05 11:08:00,2024-01-05 16:51:07.161880,5.72,172.16.47.30,Remote,468097484,267498040,Engineering
EMP-1092,2024-01-05 22:45:00,2024-01-06 07:11:30.103981,8.44,172.16.6.36,London,337542649,771412766,Finance
EMP-1002,2024-01-05 14:45:00,2024-01-05 17:02:28.322695,2.29,172.16.142.50,NewYork,108156934,362308335,Finance
EMP-1079,2024-01-05 22:06:00,2024-01-06 09:45:20.436623,11.66,172.16.177.65,Remote,301201573,690863490,Marketing
EMP-1014,2024-01-05 22:25:00,2024-01-06 06:04:17.332494,7.65,172.16.253.101,London,199008840,1701463879,Sales
EMP-1051,2024-01-06 01:03:00,2024-01-06 05:24:07.652211,4.35,172.16.211.95,Moscow,197409317,365914161,Engineering
EMP-1072,2024-01-06 10:37:00,2024-01-06 17:57:56.967882,7.35,172.16.214.247,London,150498049,647259538,Finance
EMP-1043,2024-01-06 14:13:00,2024-01-07 01:03:04.067308,10.83,172.16.4.79,NewYork,207645606,664260259,Human Resources
EMP-1095,2024-01-06 14:51:00,2024-01-06 16:09:35.903919,1.31,172.16.162.76,SanFrancisco,16826519,493506378,Legal
EMP-1070,2024-01-06 14:16:00,2024-01-07 00:46:56.092190,10.52,172.16.197.140,London,70821752,708490245,Operations
EMP-1031,2024-01-06 18:55:00,2024-01-06 23:36:48.159510,4.7,172.16.45.204,NewYork,2937588,285505114,Engineering
EMP-1077,2024-01-06 02:37:00,2024-01-06 04:36:51.800875,2.0,172.16.38.104,London,256291216,454180850,Executive
EMP-1007,2024-01-06 12:40:00,2024-01-06 17:05:58.751728,4.43,172.16.186.11,SanFrancisco,37550403,363450716,Executive
EMP-1078,2024-01-06 00:06:00,2024-01-06 09:02:36.596147,8.94,172.16.147.235,London,147618368,942050376,Research & Development
EMP-1062,2024-01-06 15:52:00,2024-01-07 00:30:36.644905,8.64,172.16.122.206,London,119326157,1642358402,Finance
