user,degree_centrality,betweenness_centrality,eigenvector_centrality,clustering_coefficient,neighbor_count
EMP-1078,0.3351063829787234,0.0031514455922444246,0.07561541091580976,0,63
EMP-1079,0.2765957446808511,0.0019973871019498142,0.06457526705534809,0,52
EMP-1080,0.28191489361702127,0.002154590538976852,0.06511083222110665,0,53
EMP-1081,0.2765957446808511,0.0019873576849367466,0.0645577756635537,0,52
EMP-1082,0.26063829787234044,0.0017130921977284478,0.06157874432763823,0,49
EMP-1083,0.2765957446808511,0.00199007599334278,0.06460336072279095,0,52
EMP-1084,0.26063829787234044,0.0016680358984276513,0.06178025917368497,0,49
EMP-1085,0.3351063829787234,0.0031896421305210006,0.07531610659268434,0,63
EMP-1086,0.35106382978723405,0.0036398172827534258,0.07795002008286504,0,66
EMP-1087,0.36170212765957444,0.0038476233463181075,0.08014364463459853,0,68
EMP-1088,0.3670212765957447,0.004024037865781096,0.08100883306674489,0,69
EMP-1089,0.2712765957446808,0.001828015801448918,0.06393952065484612,0,51
EMP-1090,0.28723404255319146,0.002200599524318857,0.06649709689691968,0,54
EMP-1091,0.2978723404255319,0.0023826411813585705,0.06859150589931429,0,56
EMP-1092,0.2765957446808511,0.0021414147855391046,0.06361177482056025,0,52
EMP-1093,0.2765957446808511,0.0019915000657777927,0.0645299761576542,0,52
EMP-1094,0.3404255319148936,0.0033593071896346354,0.07618202282357851,0,64
EMP-1095,0.3457446808510638,0.003387866298044785,0.07759829569611339,0,65
EMP-1096,0.36170212765957444,0.003901983601360978,0.079953181337016,0,68
EMP-1097,0.36170212765957444,0.0037602013667347098,0.08052957248588175,0,68
EMP-1098,0.3351063829787234,0.00305346791640515,0.0760246048633878,0,63
EMP-1099,0.26595744680851063,0.0017709738152093923,0.06270943382374582,0,50
EMP-1100,0.24468085106382978,0.0014488898563361373,0.058476584561595615,0,46
